date,District,Sub-District,NewCases,CumCases,Recovered,Deaths,ActiveCases
20/7/2021,Gombak,Batu,237,16481,14905,179,1397
20/7/2021,Gombak,Hulu Kelang,55,5226,4686,65,475
20/7/2021,Gombak,Kuang,5,3412,3001,18,393
20/7/2021,Gombak,Penjara,0,242,240,2,0
20/7/2021,Gombak,Rawang,98,7070,6441,75,554
20/7/2021,Gombak,Setapak,108,3336,3015,30,291
20/7/2021,Hulu Langat,Ampang,376,16939,14749,210,1980
20/7/2021,Hulu Langat,Beranang,76,1990,1346,20,624
20/7/2021,Hulu Langat,Cheras,343,15659,14058,167,1434
20/7/2021,Hulu Langat,Hulu Langat,77,3160,2592,33,535
20/7/2021,Hulu Langat,Hulu Semenyih,0,10,0,0,7
20/7/2021,Hulu Langat,Kajang,375,24246,21548,178,2520
20/7/2021,Hulu Langat,Penjara,9,3086,2927,0,159
20/7/2021,Hulu Langat,Semenyih,324,6087,5581,44,462
20/7/2021,Hulu Selangor,Ampang Pechah,10,517,472,4,41
20/7/2021,Hulu Selangor,Batang Kali,32,707,616,6,85
20/7/2021,Hulu Selangor,Buluh Telur,0,1,1,0,0
20/7/2021,Hulu Selangor,Hulu Bernam,2,257,228,6,23
20/7/2021,Hulu Selangor,Hulu Yam,17,450,81,3,366
20/7/2021,Hulu Selangor,Kalumpang,5,303,266,3,34
20/7/2021,Hulu Selangor,Kerling,0,87,79,0,8
20/7/2021,Hulu Selangor,Kuala Kalumpang,0,0,0,0,0
20/7/2021,Hulu Selangor,Penjara,0,277,277,0,0
20/7/2021,Hulu Selangor,Pertak,0,0,0,0,0
20/7/2021,Hulu Selangor,Rasa,3,316,296,4,16
20/7/2021,Hulu Selangor,Serendah,99,5490,4937,37,516
20/7/2021,Hulu Selangor,Sungai Gumut,0,0,0,0,0
20/7/2021,Hulu Selangor,Sungai Tinggi,0,96,96,0,0
20/7/2021,Klang,Kapar,102,22530,22212,63,255
20/7/2021,Klang,Klang,910,41786,39952,273,1561
20/7/2021,Klang,Penjara,0,13,13,0,0
20/7/2021,Kuala Langat,Bandar,21,467,435,4,28
20/7/2021,Kuala Langat,Batu,4,400,378,6,16
20/7/2021,Kuala Langat,Jugra,6,442,421,2,19
20/7/2021,Kuala Langat,Kelanang,2,194,178,1,15
20/7/2021,Kuala Langat,Morib,10,559,529,12,18
20/7/2021,Kuala Langat,Penjara,42,260,204,0,56
20/7/2021,Kuala Langat,Tanjung 12(1),120,5769,5347,29,393
20/7/2021,Kuala Langat,Tanjung 12(2),47,2122,2035,9,78
20/7/2021,Kuala Langat,Telok Panglima Garang,95,6457,6236,33,188
20/7/2021,Kuala Selangor,Api-Api,1,237,198,1,38
20/7/2021,Kuala Selangor,Bestari Jaya,7,1766,1686,8,72
20/7/2021,Kuala Selangor,Hulu Tinggi,0,0,0,0,0
20/7/2021,Kuala Selangor,Jeram,20,1526,1338,15,173
20/7/2021,Kuala Selangor,Kuala Selangor,5,789,702,5,82
20/7/2021,Kuala Selangor,ljok,58,5017,4420,35,562
20/7/2021,Kuala Selangor,Pasangan,1,53,46,0,7
20/7/2021,Kuala Selangor,Penjara,0,12,12,0,0
20/7/2021,Kuala Selangor,Tanjong Karang,7,787,738,12,37
