date,daily_cases,active_cases,daily_recover,icu_covid,vent_covid,daily_death
24/1/2020,3,3,0,0,0,0
25/1/2020,1,4,0,0,0,0
26/1/2020,0,4,0,0,0,0
27/1/2020,0,4,0,0,0,0
28/1/2020,3,7,0,0,0,0
29/1/2020,0,7,0,0,0,0
30/1/2020,1,8,0,0,0,0
31/1/2020,0,8,0,0,0,0
1/2/2020,0,8,0,0,0,0
2/2/2020,0,8,0,0,0,0
3/2/2020,0,7,1,0,0,0
4/2/2020,2,9,0,0,0,0
5/2/2020,2,11,0,0,0,0
6/2/2020,2,13,0,0,0,0
7/2/2020,1,13,1,0,0,0
8/2/2020,1,13,1,0,0,0
9/2/2020,2,15,0,0,0,0
10/2/2020,0,15,0,0,0,0
11/2/2020,0,15,0,0,0,0
12/2/2020,0,15,0,0,0,0
13/2/2020,1,12,4,0,0,0
14/2/2020,2,14,0,0,0,0
15/2/2020,1,14,1,0,0,0
16/2/2020,0,13,1,0,0,0
17/2/2020,0,9,4,0,0,0
18/2/2020,0,5,4,0,0,0
19/2/2020,0,5,0,0,0,0
20/2/2020,0,5,0,0,0,0
21/2/2020,0,5,0,0,0,0
22/2/2020,0,4,1,0,0,0
23/2/2020,0,2,2,0,0,0
24/2/2020,0,2,0,0,0,0
25/2/2020,0,2,0,0,0,0
26/2/2020,0,0,2,0,0,0
27/2/2020,1,1,0,0,0,0
28/2/2020,2,3,0,0,0,0
29/2/2020,0,3,0,0,0,0
1/3/2020,4,7,0,0,0,0
2/3/2020,0,7,0,0,0,0
3/3/2020,7,14,0,0,0,0
4/3/2020,14,28,0,0,0,0
5/3/2020,0,28,0,0,0,0
6/3/2020,33,60,1,0,0,0
7/3/2020,10,70,0,0,0,0
8/3/2020,6,75,1,0,0,0
9/3/2020,18,93,0,0,0,0
10/3/2020,12,104,1,0,0,0
11/3/2020,20,123,1,2,2,0
12/3/2020,9,126,6,3,3,0
13/3/2020,39,164,1,4,4,0
14/3/2020,41,203,2,5,5,0
15/3/2020,190,386,7,9,9,0
16/3/2020,125,511,0,12,12,0
17/3/2020,120,622,7,12,12,2
18/3/2020,117,728,11,15,15,0
19/3/2020,110,823,15,20,20,0
20/3/2020,130,941,12,26,26,0
21/3/2020,153,1065,27,37,23,2
22/3/2020,123,1157,25,46,22,6
23/3/2020,212,1345,20,57,27,4
24/3/2020,106,1426,24,64,27,1
25/3/2020,172,1578,16,45,34,4
26/3/2020,235,1793,16,45,32,4
27/3/2020,130,1876,44,54,34,3
28/3/2020,159,1973,61,73,54,1
29/3/2020,150,2048,68,73,52,7
30/3/2020,156,2110,91,94,62,3
31/3/2020,140,2186,58,94,60,6
1/4/2020,142,2218,108,102,66,2
2/4/2020,208,2299,122,105,54,5
3/4/2020,217,2453,60,108,54,3
4/4/2020,150,2511,88,99,50,4
5/4/2020,179,2596,90,99,48,4
6/4/2020,131,2490,236,102,54,1
7/4/2020,170,2579,80,92,50,1
8/4/2020,156,2567,166,76,45,2
9/4/2020,109,2553,121,72,43,2
10/4/2020,118,2446,222,69,40,3
11/4/2020,184,2462,165,72,38,3
12/4/2020,153,2499,113,66,37,3
13/4/2020,134,2464,168,66,36,1
14/4/2020,170,2427,202,60,33,5
15/4/2020,85,2342,169,56,32,1
16/4/2020,110,2332,119,56,29,1
17/4/2020,69,2198,201,51,26,2
18/4/2020,54,2115,135,49,26,2
19/4/2020,84,2103,95,46,26,1
20/4/2020,36,2041,98,45,28,0
21/4/2020,57,2041,54,43,27,3
22/4/2020,50,1987,103,43,25,1
23/4/2020,71,1966,90,42,21,2
24/4/2020,88,1932,121,41,18,1
25/4/2020,51,1882,99,36,16,2
26/4/2020,38,1820,100,36,15,0
27/4/2020,40,1764,95,37,17,1
28/4/2020,31,1719,75,36,17,1
29/4/2020,94,1758,55,40,18,0
30/4/2020,57,1729,84,36,14,2
1/5/2020,69,1758,39,37,14,1
2/5/2020,105,1747,116,31,12,0
3/5/2020,122,1780,87,27,13,2
4/5/2020,55,1764,71,28,13,0
5/5/2020,30,1710,83,24,8,1
