date,State,District,Sub-District,NewCases,CumCases,Recovered,CumRecovered,Deaths,CumDeaths,ActiveCases
01/07/2021,Selangor,Gombak,Batu,172,12146,117,11725,5,120,301
01/07/2021,Selangor,Gombak,Hulu Kelang,67,3572,45,3421,1,48,103
01/07/2021,Selangor,Gombak,Kuang,35,2259,47,2194,0,11,54
01/07/2021,Selangor,Gombak,Penjara,0,241,0,238,0,1,0
01/07/2021,Selangor,Gombak,Rawang,57,5208,48,5045,0,41,122
01/07/2021,Selangor,Gombak,Setapak,34,2192,36,2078,2,18,96
01/07/2021,Selangor,Hulu Langat,Ampang,201,11687,152,11171,7,131,385
01/07/2021,Selangor,Hulu Langat,Beranang,27,958,20,899,0,13,46
01/07/2021,Selangor,Hulu Langat,Cheras,175,11505,125,11150,0,116,239
01/07/2021,Selangor,Hulu Langat,Hulu Langat,25,2203,26,2117,2,23,63
01/07/2021,Selangor,Hulu Langat,Hulu Semenyih,0,0,0,0,0,0,0
01/07/2021,Selangor,Hulu Langat,Kajang,201,18674,77,17933,3,117,624
01/07/2021,Selangor,Hulu Langat,Penjara,20,2378,6,2293,0,0,85
01/07/2021,Selangor,Hulu Langat,Semenyih,74,4865,54,4707,1,31,127
01/07/2021,Selangor,Hulu Selangor,Ampang Pechah,3,429,0,414,0,4,11
01/07/2021,Selangor,Hulu Selangor,Batang Kali,3,469,5,456,0,4,9
01/07/2021,Selangor,Hulu Selangor,Buluh Telur,0,1,0,1,0,0,0
01/07/2021,Selangor,Hulu Selangor,Hulu Bernam,0,187,0,182,0,3,2
01/07/2021,Selangor,Hulu Selangor,Hulu Yam,8,328,0,81,0,1,246
01/07/2021,Selangor,Hulu Selangor,Kalumpang,2,147,5,140,0,0,7
01/07/2021,Selangor,Hulu Selangor,Kerling,0,69,0,67,0,0,2
01/07/2021,Selangor,Hulu Selangor,Kuala Kalumpang,0,0,0,0,0,0,0
01/07/2021,Selangor,Hulu Selangor,Penjara,0,276,0,276,0,0,0
01/07/2021,Selangor,Hulu Selangor,Pertak,0,0,0,0,0,0,0
01/07/2021,Selangor,Hulu Selangor,Rasa,3,208,8,191,0,0,17
01/07/2021,Selangor,Hulu Selangor,Serendah,40,3842,36,3676,1,25,141
01/07/2021,Selangor,Hulu Selangor,Sungai Gumut,0,0,0,0,0,0,0
01/07/2021,Selangor,Hulu Selangor,Sungai Tinggi,0,91,0,91,0,0,0
01/07/2021,Selangor,Klang,Kapar,67,20326,67,20151,0,51,124
01/07/2021,Selangor,Klang,Klang,341,31419,352,30748,5,180,491
01/07/2021,Selangor,Klang,Penjara,0,13,0,13,0,0,0
01/07/2021,Selangor,Kuala Langat,Bandar,14,384,1,361,0,3,20
01/07/2021,Selangor,Kuala Langat,Batu,3,334,9,321,0,6,7
01/07/2021,Selangor,Kuala Langat,Jugra,11,373,0,360,0,2,11
01/07/2021,Selangor,Kuala Langat,Kelanang,4,154,7,142,0,1,11
01/07/2021,Selangor,Kuala Langat,Morib,1,475,4,467,0,8,0
01/07/2021,Selangor,Kuala Langat,Penjara,0,9,0,9,0,0,0
01/07/2021,Selangor,Kuala Langat,Tanjung 12(1),42,4471,19,4349,0,21,101
01/07/2021,Selangor,Kuala Langat,Tanjung 12(2),18,1692,14,1652,0,8,32
01/07/2021,Selangor,Kuala Langat,Telok Panglima Garang,55,5549,210,5482,0,26,41
01/07/2021,Selangor,Kuala Selangor,Api-Api,2,160,1,148,0,1,11
01/07/2021,Selangor,Kuala Selangor,Bestari Jaya,0,1542,8,1485,0,6,51
01/07/2021,Selangor,Kuala Selangor,Hulu Tinggi,0,0,0,0,0,0,0
01/07/2021,Selangor,Kuala Selangor,Jeram,2,1152,7,1114,0,10,28
01/07/2021,Selangor,Kuala Selangor,Kuala Selangor,13,572,0,547,0,5,20
01/07/2021,Selangor,Kuala Selangor,ljok,44,3690,43,3577,1,25,88
01/07/2021,Selangor,Kuala Selangor,Pasangan,0,45,0,41,0,0,4
01/07/2021,Selangor,Kuala Selangor,Penjara,0,7,0,7,0,0,0
01/07/2021,Selangor,Kuala Selangor,Tanjong Karang,6,685,4,657,0,7,21
01/07/2021,Selangor,Kuala Selangor,Ujong Permatang,0,132,0,128,0,2,2
01/07/2021,Selangor,Petaling,Bukit Raja,51,5890,48,5767,1,24,99
01/07/2021,Selangor,Petaling,Damansara,269,24985,228,24375,5,119,491
01/07/2021,Selangor,Petaling,Penjara,0,18,0,17,0,0,1
01/07/2021,Selangor,Petaling,Petaling,321,26972,294,26281,9,253,438
01/07/2021,Selangor,Petaling,Sungai Buloh,230,17215,166,16743,3,79,393
01/07/2021,Selangor,Sabak Bernam,Bagan Nakhoda Omar,0,122,1,117,0,4,1
01/07/2021,Selangor,Sabak Bernam,Panchang Bedena,0,251,0,241,0,0,10
01/07/2021,Selangor,Sabak Bernam,Pasir Panjang,1,299,19,283,0,1,15
01/07/2021,Selangor,Sabak Bernam,Penjara,0,4,0,4,0,0,0
01/07/2021,Selangor,Sabak Bernam,Sabak,0,403,0,396,0,4,3
01/07/2021,Selangor,Sabak Bernam,Sungai Panjang,0,258,0,244,0,3,11
01/07/2021,Selangor,Sepang,Dengkil,212,9588,106,9303,0,42,243
01/07/2021,Selangor,Sepang,Labu,6,6128,15,6044,0,10,74
01/07/2021,Selangor,Sepang,Penjara,0,83,0,83,0,0,0
01/07/2021,Selangor,Sepang,Sepang,23,1559,44,1486,0,9,64
02/07/2021,Selangor,Gombak,Batu,108,12254,130,11855,2,122,277
02/07/2021,Selangor,Gombak,Hulu Kelang,54,3626,35,3456,0,48,122
02/07/2021,Selangor,Gombak,Kuang,0,2259,28,2222,0,11,26
02/07/2021,Selangor,Gombak,Penjara,0,241,0,238,0,1,0
02/07/2021,Selangor,Gombak,Rawang,62,5270,62,5107,0,41,122
02/07/2021,Selangor,Gombak,Setapak,64,2256,40,2118,0,18,120
02/07/2021,Selangor,Hulu Langat,Ampang,241,11928,151,11322,0,131,475
02/07/2021,Selangor,Hulu Langat,Beranang,37,995,24,923,0,13,59
02/07/2021,Selangor,Hulu Langat,Cheras,227,11732,98,11248,2,118,366
02/07/2021,Selangor,Hulu Langat,Hulu Langat,26,2229,28,2145,0,23,61
02/07/2021,Selangor,Hulu Langat,Hulu Semenyih,0,0,0,0,0,0,0
02/07/2021,Selangor,Hulu Langat,Kajang,173,18847,162,18095,2,119,633
02/07/2021,Selangor,Hulu Langat,Penjara,33,2411,37,2330,0,0,81
02/07/2021,Selangor,Hulu Langat,Semenyih,72,4937,56,4763,2,33,141
02/07/2021,Selangor,Hulu Selangor,Ampang Pechah,3,432,1,415,0,4,13
02/07/2021,Selangor,Hulu Selangor,Batang Kali,13,482,1,457,0,4,21
02/07/2021,Selangor,Hulu Selangor,Buluh Telur,0,1,0,1,0,0,0
02/07/2021,Selangor,Hulu Selangor,Hulu Bernam,4,191,0,182,0,3,6
02/07/2021,Selangor,Hulu Selangor,Hulu Yam,15,343,0,81,0,1,261
02/07/2021,Selangor,Hulu Selangor,Kalumpang,7,154,0,140,0,0,14
02/07/2021,Selangor,Hulu Selangor,Kerling,1,70,2,69,0,0,1
02/07/2021,Selangor,Hulu Selangor,Kuala Kalumpang,0,0,0,0,0,0,0
02/07/2021,Selangor,Hulu Selangor,Penjara,0,276,0,276,0,0,0
02/07/2021,Selangor,Hulu Selangor,Pertak,0,0,0,0,0,0,0
02/07/2021,Selangor,Hulu Selangor,Rasa,10,218,0,191,0,0,27
02/07/2021,Selangor,Hulu Selangor,Serendah,51,3893,33,3709,0,25,159
02/07/2021,Selangor,Hulu Selangor,Sungai Gumut,0,0,0,0,0,0,0
02/07/2021,Selangor,Hulu Selangor,Sungai Tinggi,0,91,0,91,0,0,0
02/07/2021,Selangor,Klang,Kapar,99,20425,104,20255,0,51,119
