date,States,District,Local Cases,Import Cases,Total Cases
01/07/2021,Selangor,Kuala Langat,148,1,149
01/07/2021,Selangor,Sabak Bernam,1,1,2
01/07/2021,Selangor,Gombak,365,0,365
01/07/2021,Selangor,Hulu Langat,723,0,723
01/07/2021,Selangor,Hulu Selangor,59,0,59
01/07/2021,Selangor,Klang,408,0,408
01/07/2021,Selangor,Kuala Selangor,67,0,67
01/07/2021,Selangor,Petaling,871,0,871
01/07/2021,Selangor,Sepang,241,0,241
02/07/2021,Selangor,Kuala Langat,105,1,106
02/07/2021,Selangor,Gombak,288,0,288
02/07/2021,Selangor,Hulu Langat,809,0,809
02/07/2021,Selangor,Hulu Selangor,104,0,104
02/07/2021,Selangor,Klang,447,0,447
02/07/2021,Selangor,Kuala Selangor,83,0,83
02/07/2021,Selangor,Petaling,798,0,798
02/07/2021,Selangor,Sabak Bernam,16,0,16
02/07/2021,Selangor,Sepang,256,0,256
03/07/2021,Selangor,Gombak,416,1,417
03/07/2021,Selangor,Sepang,302,1,303
03/07/2021,Selangor,Hulu Langat,1035,0,1035
03/07/2021,Selangor,Hulu Selangor,76,0,76
03/07/2021,Selangor,Klang,443,0,443
03/07/2021,Selangor,Kuala Langat,85,0,85
03/07/2021,Selangor,Kuala Selangor,68,0,68
03/07/2021,Selangor,Petaling,607,0,607
03/07/2021,Selangor,Sabak Bernam,13,0,13
04/07/2021,Selangor,Gombak,276,0,276
04/07/2021,Selangor,Hulu Langat,706,0,706
04/07/2021,Selangor,Hulu Selangor,106,0,106
04/07/2021,Selangor,Klang,325,0,325
04/07/2021,Selangor,Kuala Langat,115,0,115
04/07/2021,Selangor,Kuala Selangor,22,0,22
04/07/2021,Selangor,Petaling,583,0,583
04/07/2021,Selangor,Sabak Bernam,18,0,18
04/07/2021,Selangor,Sepang,111,0,111
05/07/2021,Selangor,Sabak Bernam,20,1,21
05/07/2021,Selangor,Sepang,232,1,233
05/07/2021,Selangor,Gombak,314,0,314
05/07/2021,Selangor,Hulu Langat,617,0,617
05/07/2021,Selangor,Hulu Selangor,46,0,46
05/07/2021,Selangor,Klang,230,0,230
05/07/2021,Selangor,Kuala Langat,99,0,99
05/07/2021,Selangor,Kuala Selangor,68,0,68
05/07/2021,Selangor,Petaling,982,0,982
06/07/2021,Selangor,Hulu Selangor,104,1,105
06/07/2021,Selangor,Gombak,432,0,432
06/07/2021,Selangor,Hulu Langat,824,0,824
06/07/2021,Selangor,Klang,382,0,382
06/07/2021,Selangor,Kuala Langat,245,0,245
06/07/2021,Selangor,Kuala Selangor,160,0,160
06/07/2021,Selangor,Petaling,904,0,904
06/07/2021,Selangor,Sabak Bernam,5,0,5
06/07/2021,Selangor,Sepang,203,0,203
07/07/2021,Selangor,Sabak Bernam,6,1,7
07/07/2021,Selangor,Gombak,209,2,211
07/07/2021,Selangor,Hulu Selangor,161,2,163
07/07/2021,Selangor,Hulu Langat,952,0,952
07/07/2021,Selangor,Klang,673,0,673
07/07/2021,Selangor,Kuala Langat,173,0,173
07/07/2021,Selangor,Kuala Selangor,165,0,165
07/07/2021,Selangor,Petaling,666,0,666
07/07/2021,Selangor,Sepang,109,0,109
08/07/2021,Selangor,Hulu Selangor,106,1,107
08/07/2021,Selangor,Sabak Bernam,14,0,14
08/07/2021,Selangor,Gombak,375,0,375
08/07/2021,Selangor,Hulu Langat,796,0,796
08/07/2021,Selangor,Klang,1040,0,1040
08/07/2021,Selangor,Kuala Langat,165,0,165
08/07/2021,Selangor,Kuala Selangor,89,0,89
08/07/2021,Selangor,Petaling,1313,0,1313
08/07/2021,Selangor,Sepang,253,0,253
09/07/2021,Selangor,Sabak Bernam,2,1,3
09/07/2021,Selangor,Gombak,221,0,221
09/07/2021,Selangor,Hulu Langat,775,0,775
09/07/2021,Selangor,Hulu Selangor,134,0,134
09/07/2021,Selangor,Klang,945,0,945
09/07/2021,Selangor,Kuala Langat,226,0,226
09/07/2021,Selangor,Kuala Selangor,121,0,121
09/07/2021,Selangor,Petaling,1851,0,1851
09/07/2021,Selangor,Sepang,124,0,124
10/07/2021,Selangor,Sepang,229,1,230
10/07/2021,Selangor,Sabak Bernam,21,4,25
10/07/2021,Selangor,Gombak,417,0,417
10/07/2021,Selangor,Hulu Langat,1058,0,1058
10/07/2021,Selangor,Hulu Selangor,150,0,150
10/07/2021,Selangor,Klang,890,0,890
10/07/2021,Selangor,Kuala Langat,94,0,94
10/07/2021,Selangor,Kuala Selangor,131,0,131
10/07/2021,Selangor,Petaling,1282,0,1282
11/07/2021,Selangor,Gombak,404,0,404
11/07/2021,Selangor,Hulu Langat,1075,0,1075
11/07/2021,Selangor,Hulu Selangor,124,0,124
11/07/2021,Selangor,Klang,543,0,543
11/07/2021,Selangor,Kuala Langat,147,0,147
11/07/2021,Selangor,Kuala Selangor,143,0,143
11/07/2021,Selangor,Petaling,1763,0,1763
11/07/2021,Selangor,Sabak Bernam,24,0,24
11/07/2021,Selangor,Sepang,459,0,459
12/07/2021,Selangor,Hulu Langat,1213,1,1214
12/07/2021,Selangor,Sabak Bernam,0,17,17
